architecture,compiler,optimization,label,num_basic_blocks,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,instruction_count,immediate_entropy,bitwise_op_density,table_lookup_presence,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
arm64,gcc,O0,SHA-256,1,2,1,1,1.0,11.0,11,1.4390244889536477,0.0,1,4,0.0,0.2941176470588235,0.0,0.2352941176470588,0.0,0.0,0.0,1,1,0,0,1,0,32,0,0,10,0.2352941176470588,4.362507470762515,2.374556048381884,0.1818181818181818,10
arm64,gcc,O0,SHA-256,1,2,1,1,1.0,11.0,11,1.4390244889536477,0.0,1,4,0.0,0.2941176470588235,0.0,0.2352941176470588,0.0,0.0,0.0,1,1,0,0,1,0,32,0,0,10,0.2352941176470588,4.42511855035714,2.374556048381884,0.1818181818181818,10
arm64,gcc,O0,SHA-256,1,2,1,1,1.0,11.0,11,1.4390244889536477,0.0,1,4,0.0,0.2941176470588235,0.0,0.2352941176470588,0.0,0.0,0.0,1,1,0,0,1,0,32,0,0,10,0.2352941176470588,4.330988790128133,2.374556048381884,0.1818181818181818,10
arm64,gcc,O0,SHA-256,1,2,1,1,1.0,11.0,11,1.4611843442371142,0.0,1,4,0.0,0.2941176470588235,0.0,0.2352941176470588,0.0,0.0,0.0,1,1,0,0,1,0,32,0,0,10,0.2352941176470588,4.379664004902594,2.374556048381884,0.1818181818181818,10
arm64,gcc,O2,SHA-256,1,2,1,1,1.0,4.0,4,0.7838054550605168,0.0,0,4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0.0,3.452819531114783,1.7709505944546688,0.5,3
arm64,gcc,O2,SHA-256,1,2,1,1,1.0,4.0,4,0.7838054550605168,0.0,0,4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0.0,3.625,1.7709505944546688,0.5,3
arm64,gcc,O2,SHA-256,1,2,1,1,1.0,4.0,4,0.7838054550605168,0.0,0,4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0.0,3.577819531114783,1.7709505944546688,0.5,3
arm64,gcc,O2,SHA-256,1,2,1,1,1.0,4.0,4,0.71493326750643,0.0,0,4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0.0,3.75,1.7709505944546688,0.5,3
riscv,gcc,O1,SHA-256,11,2,1,1,0.0909090909090909,1.0909090909090908,12,0.2969817945335171,0.0,1,10,0.0,0.0909090909090909,0.0,0.0909090909090909,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,2,0.0909090909090909,4.423251796980336,2.00008087609938,0.1666666666666666,11
riscv,gcc,O1,SHA-256,7,3,0,0,0.0,2.0,14,1.0940455142829986,0.0642857142857143,1,12,0.0,0.2777777777777778,0.0555555555555555,0.1111111111111111,0.0,0.0,0.0555555555555555,1,1,0,0,0,0,16,4,2,10,0.1111111111111111,4.392147223664534,2.094754188938718,0.2142857142857142,11
