has_aes_sbox,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,table_lookup_presence,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,rotate_ratio,num_conditional_edges,num_unconditional_edges,rodata_refs_count,stack_frame_size,bitwise_ops,arithmetic_ops,cyclomatic_complexity_density,architecture_arm32,architecture_arm64,architecture_avr,architecture_mips,architecture_riscv,architecture_x86,compiler_gcc,optimization_O0,optimization_O1,optimization_O2,optimization_O3,optimization_Os,label
1,1,0,1,0,0,0.0,9.0,2,1,9,1.4090542141729596,0.0,1,10,0.0,0.1707317073170731,0.0,0.2195121951219512,0.0,0.0,0,0,0,4,0,14,0.1111111111111111,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,16,42,28,11,11,0.2619047619047619,11.0625,1,30,177,1.480182896181809,0.1232346498386545,1,570,2.261904761904762,0.0894607843137254,0.1409313725490196,0.1446078431372549,0.0036764705882352,0.0024509803921568,9,33,0,560,117,149,0.1581920903954802,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,19,31,14,6,6,0.1935483870967742,3.0526315789473686,1,20,58,0.976256971259382,0.1453743580162131,1,222,1.1290322580645162,0.0625,0.1583333333333333,0.0916666666666666,0.0041666666666666,0.0,12,19,0,20,38,29,0.2413793103448276,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,14,23,11,2,2,0.0869565217391304,3.5,2,15,49,1.068057407120561,0.1460512774175013,1,184,1.2173913043478262,0.1062801932367149,0.144927536231884,0.1062801932367149,0.0,0.0,10,13,0,20,30,29,0.2244897959183673,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,1,0,1,0,0,0.0,1243.0,1,1,1243,1.0367284413858626,0.2714285714285714,1,3348,0.0,0.1094684385382059,0.1073089700996677,0.0566445182724252,0.0518272425249169,0.1122923588039867,0,0,0,128,1322,894,0.0008045052292839,True,False,False,False,False,False,True,False,False,True,False,False,SHA-256
1,3,3,2,0,0,0.0,9.333333333333334,2,4,28,1.0544641420238203,0.127891156462585,1,56,0.0,0.1181818181818181,0.1363636363636363,0.1545454545454545,0.0,0.0454545454545454,1,2,0,0,20,17,0.0714285714285714,True,False,False,False,False,False,True,False,False,True,False,False,SHA-256
1,26,41,17,10,9,0.2439024390243902,4.961538461538462,3,24,129,0.6872609766721557,0.0621199423554343,1,344,0.5609756097560976,0.0976909413854351,0.0550621669626998,0.0941385435168739,0.0,0.0248667850799289,14,27,0,52,45,91,0.1317829457364341,True,False,False,False,False,False,True,False,False,True,False,False,SHA-256
1,6,7,3,1,1,0.1428571428571428,5.666666666666667,2,6,34,1.0379482628355206,0.096031746031746,1,58,1.0,0.1513157894736842,0.0592105263157894,0.1381578947368421,0.0,0.0394736842105263,2,5,0,28,15,29,0.088235294117647,True,False,False,False,False,False,True,False,False,True,False,False,SHA-256
1,18,30,14,6,6,0.2,6.555555555555555,1,20,118,0.9868100997012956,0.1100692673385816,1,304,0.7333333333333333,0.1067193675889328,0.0810276679841897,0.1027667984189723,0.0,0.0592885375494071,8,22,0,0,71,77,0.1186440677966101,True,False,False,False,False,False,True,False,False,True,False,False,SHA-256
1,3,3,2,0,0,0.0,9.333333333333334,2,4,28,1.0563743616990828,0.127891156462585,1,56,0.0,0.1181818181818181,0.1363636363636363,0.1545454545454545,0.0,0.0454545454545454,1,2,0,0,20,17,0.0714285714285714,True,False,False,False,False,False,True,False,False,True,False,False,SHA-256
1,4,6,4,2,2,0.3333333333333333,4.5,2,6,18,1.0941490949182835,0.0662393162393162,1,56,0.0,0.0571428571428571,0.0571428571428571,0.0571428571428571,0.0,0.0,1,5,0,0,4,9,0.2222222222222222,True,False,False,False,False,False,True,False,False,True,False,False,SHA-256
1,3,3,2,0,0,0.0,5.666666666666667,2,4,17,1.198958273794311,0.0851449275362318,1,74,0.0,0.0481927710843373,0.0602409638554216,0.072289156626506,0.0,0.0,1,2,0,0,5,8,0.1176470588235294,True,False,False,False,False,False,True,False,False,True,False,False,SHA-256
1,5,9,6,2,2,0.2222222222222222,8.6,1,8,43,1.0611347763983332,0.3057366946778711,1,100,1.1111111111111112,0.208,0.12,0.168,0.008,0.008,2,7,3,56,16,26,0.1395348837209302,False,False,False,True,False,False,True,False,False,False,False,True,SHA-256
0,1,0,1,0,0,0.0,3.0,2,1,3,0.7310644431995964,0.0,0,4,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.3333333333333333,False,True,False,False,False,False,True,False,False,False,False,True,SHA-256
0,1,0,1,0,0,0.0,4.0,2,1,4,0.5699675570478492,0.0,0,8,0.0,0.1176470588235294,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0.25,False,True,False,False,False,False,True,False,False,False,False,True,SHA-256
0,1,1,2,0,0,0.0,4.0,1,2,4,0.4971501836369671,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.5,False,True,False,False,False,False,True,False,False,False,False,True,SHA-256
0,1,1,2,0,0,0.0,4.0,1,2,4,0.4971501836369671,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.5,False,True,False,False,False,False,True,False,False,False,False,True,SHA-256
1,27,50,25,10,10,0.2,3.6296296296296298,3,23,98,0.7754948355399007,0.0,1,122,0.0,0.1805555555555555,0.0,0.0902777777777777,0.0,0.0,13,37,9,80,0,54,0.2551020408163265,False,True,False,False,False,False,True,False,False,False,False,True,SHA-256
1,22,41,21,5,5,0.1219512195121951,3.8181818181818175,2,19,84,0.6470022440944326,0.0,1,112,0.0,0.1717557251908397,0.0,0.0839694656488549,0.0,0.0,11,30,8,80,0,47,0.25,False,True,False,False,False,False,True,False,False,False,False,True,SHA-256
1,5,9,6,2,2,0.2222222222222222,6.2,2,8,31,1.0560854396525894,0.0,1,22,0.0,0.2222222222222222,0.0,0.1604938271604938,0.0,0.0,2,7,1,32,0,18,0.1935483870967742,False,True,False,False,False,False,True,False,False,False,False,True,SHA-256
1,5,9,6,2,2,0.2222222222222222,6.2,2,8,31,1.047678151208915,0.0,1,22,0.0,0.2222222222222222,0.0,0.1604938271604938,0.0,0.0,2,7,1,32,0,18,0.1935483870967742,False,True,False,False,False,False,True,False,False,False,False,True,SHA-256
1,8,11,5,2,2,0.1818181818181818,3.25,2,9,26,0.8065360303426032,0.0,1,14,0.0,0.2272727272727272,0.0,0.2121212121212121,0.0,0.0,3,8,0,48,0,15,0.1923076923076923,False,True,False,False,False,False,True,False,False,False,False,True,SHA-256
1,5,11,8,1,1,0.0909090909090909,8.2,0,10,41,1.2672922662574142,0.0745840040667626,1,76,0.2727272727272727,0.1555555555555555,0.074074074074074,0.1703703703703703,0.0,0.0,2,9,0,76,10,29,0.1951219512195122,True,False,False,False,False,False,True,False,False,True,False,False,SHA-256
1,1,1,2,1,1,1.0,15.0,1,2,15,1.331583431561166,0.0,1,20,0.0,0.173076923076923,0.0,0.0769230769230769,0.0,0.0,0,1,2,16,0,9,0.1333333333333333,False,True,False,False,False,False,True,False,True,False,False,False,SHA-256
